lsoa_code,lsoa_name,value
E01000164,Barnet 022D,417875
E01000165,Barnet 022E,521938
E01000166,Barnet 003A,480729
E01000167,Barnet 002A,443000
E01000168,Barnet 003B,708167
E01000169,Barnet 003C,474447
E01000170,Barnet 006A,531281
E01000171,Barnet 006B,339076
E01000172,Barnet 003D,614430
E01000173,Barnet 006C,562286
E01000174,Barnet 006D,418625
E01000175,Barnet 006E,590888
E01000176,Barnet 027A,450062
E01000177,Barnet 029A,619133
E01000178,Barnet 027B,660682
E01000179,Barnet 029B,522774
E01000180,Barnet 029C,647886
E01000181,Barnet 029D,846773
E01000182,Barnet 029E,905562
E01000183,Barnet 033A,732541
E01000184,Barnet 027C,408838
E01000185,Barnet 029F,417365
E01000186,Barnet 014A,760455
E01000187,Barnet 014B,626875
E01000188,Barnet 014C,768650
E01000189,Barnet 014D,570393
E01000190,Barnet 014E,640222
E01000191,Barnet 014F,569745
E01000192,Barnet 018A,593615
E01000193,Barnet 018B,654386
E01000194,Barnet 018C,359292
E01000195,Barnet 013A,322026
E01000196,Barnet 028A,530174
E01000197,Barnet 023A,629786
E01000198,Barnet 025A,585359
E01000199,Barnet 025B,833954
E01000200,Barnet 028B,699458
E01000201,Barnet 028C,1497021
E01000202,Barnet 028D,1096071
E01000203,Barnet 028E,747038
E01000204,Barnet 025C,739882
E01000205,Barnet 035A,816354
E01000206,Barnet 033B,6360882
E01000207,Barnet 033C,1826793
E01000208,Barnet 033D,1477263
E01000209,Barnet 035B,1120582
E01000210,Barnet 033E,643984
E01000211,Barnet 035C,564130
E01000212,Barnet 035D,1482857
E01000213,Barnet 033F,2324679
E01000214,Barnet 038E,813023
E01000215,Barnet 037B,772188
E01000216,Barnet 035E,910508
E01000217,Barnet 035F,1208889
E01000218,Barnet 037C,825167
E01000219,Barnet 037D,659286
E01000220,Barnet 037E,1105360
E01000221,Barnet 039B,457250
E01000222,Barnet 040C,494455
E01000223,Barnet 039C,461429
E01000224,Barnet 040D,529727
E01000225,Barnet 037F,1221500
E01000226,Barnet 018D,375250
E01000227,Barnet 018E,580867
E01000228,Barnet 007A,1107177
E01000229,Barnet 013B,369778
E01000230,Barnet 013C,681800
E01000231,Barnet 013D,425814
E01000232,Barnet 013E,593958
E01000233,Barnet 013F,596926
E01000234,Barnet 021D,602841
E01000235,Barnet 021E,526167
E01000236,Barnet 034A,746481
E01000237,Barnet 032A,774423
E01000238,Barnet 034B,598625
E01000239,Barnet 031A,397615
E01000240,Barnet 031B,565182
E01000241,Barnet 031C,527043
E01000242,Barnet 032B,839803
E01000243,Barnet 032C,483048
E01000244,Barnet 032D,607371
E01000245,Barnet 032E,495250
E01000246,Barnet 002B,580571
E01000247,Barnet 002C,472012
E01000248,Barnet 001A,527041
E01000249,Barnet 001B,644000
E01000250,Barnet 001C,438365
E01000251,Barnet 002D,406903
E01000252,Barnet 002E,509083
E01000253,Barnet 007B,934839
E01000254,Barnet 001D,1002604
E01000255,Barnet 017A,1408458
E01000256,Barnet 016A,748577
E01000257,Barnet 017B,499630
E01000258,Barnet 016B,776139
E01000259,Barnet 025D,506500
E01000260,Barnet 025E,471837
E01000261,Barnet 017C,873582
E01000262,Barnet 017D,672188
E01000263,Barnet 016C,1702167
E01000264,Barnet 016D,893247
E01000265,Barnet 011A,462967
E01000266,Barnet 011B,830389
E01000267,Barnet 005A,567600
E01000268,Barnet 005B,422136
E01000269,Barnet 005C,626984
E01000270,Barnet 005D,589996
E01000271,Barnet 008A,643211
E01000272,Barnet 008B,1186728
E01000273,Barnet 008C,726750
E01000274,Barnet 011C,426785
E01000275,Barnet 012A,578438
E01000276,Barnet 020A,883333
E01000277,Barnet 012B,601761
E01000278,Barnet 020B,875000
E01000279,Barnet 007C,2255453
E01000280,Barnet 007D,1428727
E01000281,Barnet 008D,495684
E01000282,Barnet 008E,526198
E01000283,Barnet 012C,1010273
E01000284,Barnet 012D,561913
E01000285,Barnet 004A,423500
E01000286,Barnet 007E,407333
E01000287,Barnet 004B,450154
E01000288,Barnet 004C,541048
E01000289,Barnet 004D,477234
E01000290,Barnet 007F,789292
E01000291,Barnet 004E,0
E01000292,Barnet 001E,407354
E01000293,Barnet 001F,599453
E01000294,Barnet 004F,494717
E01000295,Barnet 023B,911466
E01000296,Barnet 023C,573581
E01000297,Barnet 027D,493212
E01000298,Barnet 023D,632462
E01000299,Barnet 019A,441934
E01000300,Barnet 019B,583500
E01000301,Barnet 020C,720571
E01000302,Barnet 019C,414802
E01000303,Barnet 020D,725905
E01000304,Barnet 020E,572733
E01000305,Barnet 036B,371583
E01000306,Barnet 036C,483577
E01000307,Barnet 039D,0
E01000308,Barnet 036D,477098
E01000309,Barnet 031D,761625
E01000310,Barnet 034C,574692
E01000311,Barnet 034D,957300
E01000312,Barnet 036E,299115
E01000313,Barnet 036F,402859
E01000314,Barnet 032F,597696
E01000315,Barnet 022F,511400
E01000316,Barnet 027E,513571
E01000317,Barnet 019D,501781
E01000318,Barnet 019E,632778
E01000319,Barnet 027F,618625
E01000320,Barnet 011D,564713
E01000321,Barnet 012E,646123
E01000322,Barnet 011E,417442
E01000323,Barnet 019F,391607
E01000324,Barnet 015F,572857
E01033572,Barnet 030E,465670
E01033573,Barnet 030F,372472
E01000325,Bexley 014A,420953
E01000326,Bexley 014B,312135
E01000327,Bexley 017A,399900
E01000328,Bexley 017B,389462
E01000329,Bexley 017C,322270
E01000330,Bexley 017D,281059
E01000331,Bexley 017E,334647
E01000332,Bexley 005A,303429
E01000333,Bexley 003A,281172
E01000334,Bexley 006A,348120
E01000335,Bexley 003B,245584
E01000336,Bexley 003C,288270
E01000337,Bexley 003D,288271
E01000338,Bexley 003E,283109
E01000339,Bexley 025A,426821
E01000340,Bexley 018A,348850
E01000341,Bexley 022A,357500
E01000342,Bexley 022B,324190
E01000343,Bexley 022C,400531
E01000344,Bexley 025B,439700
E01000345,Bexley 022D,449408
E01000346,Bexley 021A,374214
E01000347,Bexley 021B,333757
E01000348,Bexley 020A,548900
E01000349,Bexley 020B,458271
E01000350,Bexley 021C,456563
E01000351,Bexley 024A,395429
E01000352,Bexley 021D,322412
E01000353,Bexley 011A,486097
E01000354,Bexley 011B,356971
E01000355,Bexley 011C,416714
E01000356,Bexley 009A,434075
E01000357,Bexley 009B,462767
E01000358,Bexley 011D,420957
E01000359,Bexley 009C,402333
E01000360,Bexley 015A,363807
E01000361,Bexley 020C,386281
E01000362,Bexley 015B,349813
E01000363,Bexley 020D,491644
E01000364,Bexley 023A,405081
E01000365,Bexley 015C,348574
E01000366,Bexley 015D,372604
E01000367,Bexley 010A,239306
E01000368,Bexley 010B,297974
E01000369,Bexley 014C,333093
E01000370,Bexley 014D,333923
E01000371,Bexley 014E,310097
E01000372,Bexley 010C,350088
E01000373,Bexley 008A,268521
E01000374,Bexley 019A,312548
E01000375,Bexley 019B,283254
E01000376,Bexley 019C,313773
E01000377,Bexley 019D,282579
E01000378,Bexley 019E,296051
E01000379,Bexley 019F,341635
E01000380,Bexley 010D,217908
E01000381,Bexley 028A,328616
E01000382,Bexley 027A,456866
E01000383,Bexley 028B,437500
E01000384,Bexley 027B,317433
E01000385,Bexley 028C,261775
E01000386,Bexley 028D,253406
E01000387,Bexley 027C,395876
E01000388,Bexley 016A,413569
E01000389,Bexley 020E,399975
E01000390,Bexley 020F,505090
E01000391,Bexley 021E,360220
E01000392,Bexley 016B,258602
E01000393,Bexley 020G,384264
E01000394,Bexley 015E,356700
E01000395,Bexley 018B,475419
E01000396,Bexley 018C,406625
E01000398,Bexley 029A,338000
E01000399,Bexley 029B,394073
E01000400,Bexley 029C,342476
E01000401,Bexley 013A,321713
E01000402,Bexley 005B,242854
E01000403,Bexley 004A,273955
E01000404,Bexley 004B,201780
E01000405,Bexley 004C,267905
E01000406,Bexley 005C,272609
E01000407,Bexley 005D,285409
E01000408,Bexley 004D,287136
E01000409,Bexley 016C,410721
E01000410,Bexley 018D,370813
E01000411,Bexley 016D,367583
E01000412,Bexley 018E,369399
E01000413,Bexley 018F,347785
E01000414,Bexley 016E,313821
E01000415,Bexley 016F,459111
E01000416,Bexley 002A,352125
E01000417,Bexley 006B,372895
E01000418,Bexley 002B,314309
E01000419,Bexley 006C,406833
E01000420,Bexley 006D,382025
E01000421,Bexley 009D,399656
E01000422,Bexley 002C,0
E01000423,Bexley 025C,528435
E01000424,Bexley 026A,404513
E01000425,Bexley 025D,491450
E01000426,Bexley 026B,384377
E01000427,Bexley 026C,377218
E01000428,Bexley 027D,232838
E01000429,Bexley 008B,186941
E01000430,Bexley 008C,284310
